animal_id,name,location
1,Vẹt Tai Vàng,"Dãy Andes, Colombia và Ecuador"
2,Dơi quạ Livingstone,Comoros
3,Cua nước ngọt Potamonautes,Đông Phi
4,Châu chấu Gõ trống Usambara,"Dãy Usambara, Tanzania"
5,Gấu Andes,"Dãy núi Andes, Nam Mỹ"
6,Ếch Cây Steiner,Sri Lanka
7,Vịt Sông Đầu Trắng,"chủ yếu được tìm thấy ở vùng biển phía nam Nam Mỹ, đặc biệt là ở quần đảo Falkland và dọc theo bờ biển Argentina"
8,Rùa biển Xanh,"Đại Tây Dương, Thái Bình Dương, Ấn Độ Dương"
9,Hổ Bengal,"Ấn Độ, Bangladesh, Bhutan, Nepal"
10,Ốc Tulotoma,"Alabama, Hoa Kỳ"
11,Dơi mũi lá trắng Honduras,"Trung Mỹ (Honduras, Nicaragua, Costa Rica)"
12,Chuột Túi Chuột Lớn,"California, Hoa Kỳ"
13,Chim Cắt Rừng Đước,"Đông Nam Á (Malaysia, Thái Lan, Indonesia)"
14,Dơi Indiana,Miền đông Hoa Kỳ
15,Quỷ Tasmania,"Đảo Tasmania, Úc"
16,Tắc kè Tarzan,Madagascar
17,Lợn biển Châu Phi,Tây và Trung Phi
18,Rùa Hộp Vân Nam,"Vân Nam, Trung Quốc"
19,Mèo Cẩm Thạch,"Đông Nam Á, Nam Á"
20,Tuần Lộc,"Bắc Cực, châu Âu, châu Á, Bắc Mỹ"
21,Nhím Amur,"Đông Bắc Á (Nga, Trung Quốc, Hàn Quốc)"
22,Cò quăm lùn São Tomé,"Đảo São Tomé, Tây Phi"
23,Hải âu lang thang,"Nam Đại Tây Dương, Nam Ấn Độ Dương, Nam Thái Bình Dương"
24,Sóc đất tua,Borneo
25,Vẹt đuôi dài lam,Bolivia
26,Vẹt Cú,New Zealand
27,Thằn lằn buồm nước,Philippines
28,Kỳ nhông lưỡi nấm Salvin,"Mexico, Guatemala"
29,Khỉ Muriqui Bắc,Đông Nam Brazil
30,Rắn đuôi chuông đảo Santa Catalina,Đảo Santa Catalina
31,Thú châm Hispaniola,Đảo Hispaniola (Haiti và Cộng hòa Dominica)
32,Kỳ giông khổng lồ Mỹ,Miền đông và trung Hoa Kỳ
33,Gấu Bắc Cực,Vòng Bắc Cực
34,Hải cẩu mũ,"Vòng Bắc Cực, Bắc Đại Tây Dương"
35,Cá tầm Beluga,"Biển Caspi, Biển Đen, Biển Azov"
36,Kỳ nhông Mexico,"Hồ Xochimilco, Mexico"
37,Chim sẻ Sao Tome,Đảo Sao Tome
38,Tắc kè lá Antsingy,Madagascar
39,Cua nước ngọt Humbert Madagascar,Madagascar
40,Tê giác đen,Đông và Nam Phi
41,Chim chích Tahiti,"Đảo Tahiti, Polynesia thuộc Pháp"
42,Cá mập Porbeagle,"Bắc Đại Tây Dương, Nam Đại Tây Dương, Ấn Độ Dương, Thái Bình Dương"
43,Kiến vương Serra,"Serra do Cipó, Brazil"
44,Sên đất săn mồi Burnup,Nam Phi
45,Trăn vảy gờ,Cuba
46,Dơi mặt nhăn,"Trung Mỹ, Bắc Nam Mỹ"
47,Dơi môi ống không đuôi,Ecuador
48,Vượn cáo Verreaux,Madagascar
49,Chim chạy Jerdon,Ấn Độ
50,Gà lôi Bengal,"Ấn Độ, Nepal, Campuchia, Việt Nam"
51,Kền kền lưng trắng,Châu Phi hạ Sahara
52,Bào ngư đen,Bờ biển phía tây Bắc Mỹ
53,Gấu túi mũi lông phương Bắc,Úc (Queensland)
54,Khỉ Kipunji,Tanzania
55,Rùa cạn Ploughshare,Madagascar
56,Khỉ Drill,Tây Phi
57,Linh dương Hirola,"Kenya, Somalia"
58,Choắt chân xanh đốm,"Đông Nam Á, Đông Bắc Á"
